History,Stock,% of Portfolio,RecentActivity,Shares,ReportedPrice*,Value,Unnamed: 7,Current Price,+/-Reported Price,52Week Low,52Week High,Investor,Page
≡,MSFT - Microsoft Corp.,4.15,Add 32.45%,3217642,$483.62,"$1,556,116,000",,$396.86,-17.94%,$342.95,$553.50,Viking Global Investors,1
≡,PNC - PNC Financial Services,4.06,Reduce 8.42%,7287068,$208.73,"$1,521,030,000",,$231.24,10.78%,$140.02,$243.94,Viking Global Investors,1
≡,TSM - Taiwan Semiconductor S.A.,3.99,Add 24.61%,4914896,$303.89,"$1,493,588,000",,$364.20,19.85%,$133.00,$380.00,Viking Global Investors,1
≡,V - Visa Inc.,3.73,Add 37.53%,3984205,$350.71,"$1,397,301,000",,$319.50,-8.90%,$296.78,$373.34,Viking Global Investors,1
≡,SCHW - Charles Schwab Corp.,3.7,Reduce 16.34%,13872905,$99.91,"$1,386,042,000",,$93.08,-6.84%,$65.08,$107.14,Viking Global Investors,1
≡,DIS - Walt Disney Co.,3.4,Add 7.12%,11193504,$113.77,"$1,273,485,000",,$105.44,-7.32%,$79.22,$123.85,Viking Global Investors,1
≡,APD - Air Products & Chemicals,3.15,Add 30.42%,4782534,$247.02,"$1,181,382,000",,$277.69,12.42%,$227.45,$313.12,Viking Global Investors,1
≡,MCD - McDonald's Corp.,2.95,Add 7.24%,3619215,$305.63,"$1,106,141,000",,$327.62,7.19%,$280.19,$335.67,Viking Global Investors,1
≡,BBIO - BridgeBio Pharma Inc.,2.94,Reduce 9.91%,14393934,$76.49,"$1,100,992,000",,$75.85,-0.84%,$28.33,$84.94,Viking Global Investors,1
≡,FTV - Fortive Corp.,2.83,Reduce 6.13%,19228265,$55.21,"$1,061,593,000",,$56.81,2.90%,$46.10,$63.54,Viking Global Investors,1
≡,SHW - Sherwin-Williams,2.74,Add 10.11%,3172308,$324.03,"$1,027,923,000",,$367.94,13.55%,$306.78,$378.76,Viking Global Investors,1
≡,BA - Boeing Co.,2.29,Add 31.31%,3953087,$217.12,"$858,294,000",,$244.04,12.40%,$128.88,$254.35,Viking Global Investors,1
≡,GOOGL - Alphabet Inc.,2.23,Buy,2666272,$313.00,"$834,543,000",,$302.02,-3.51%,$140.14,$349.00,Viking Global Investors,1
≡,AMD - Advanced Micro Devices,2.14,Reduce 10.50%,3742191,$214.16,"$801,428,000",,$203.08,-5.17%,$76.48,$267.08,Viking Global Investors,1
≡,ICE - Intercontinental Exchange Inc.,2.08,Buy,4803197,$161.96,"$777,926,000",,$153.44,-5.26%,$142.74,$188.26,Viking Global Investors,1
